table_s1_id	population_or_species	sample_analyzed	known_ida	sexb	recent_hybridsc	historical_hybridsc	genome_wide_anubis_ancestryd	nodup_mapq10_coveraged	percent_reads_mappedd	BioProject_WGSEQ	Paper_WGSEQ	SRR_Accession_WGSEQ	Paper_RNASEQ_1..Tung_et_al_2015_eLIFE..PRJNA269070.	Paper_RNASEQ_2..Lea_et_al_2018_PNAS..PRJNA480672.	Paper_RNASEQ_3..Anderson_et_al_bioRxiv..PRJNA731520.
295	AMB_190	Amboseli	TRUE	TRUE	M	historical	NA	0.329	0.907	98.34		this_study		NA	NA	NA
296	AMB_075	Amboseli	TRUE	TRUE	M	historical	NA	0.327	0.73	99.08		this_study		NA	NA	NA
297	AMB_299	Amboseli	TRUE	TRUE	F	historical	NA	0.327	3.046	99.24	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151903	NA	NA	NA
298	AMB_326	Amboseli	TRUE	TRUE	M	historical	NA	0.327	0.86	99.05		this_study		NA	NA	NA
299	AMB_080	Amboseli	TRUE	TRUE	F	recent	NA	0.326	0.724	99.16		this_study		NA	NA	SRR14608260
300	AMB_220	Amboseli	TRUE	TRUE	F	recent	NA	0.326	1.577	99.24		this_study		NA	SRR7510472	SRR14608218
301	AMB_104	Amboseli	TRUE	TRUE	M	recent	NA	0.326	1.162	99.34		this_study		SRR1688509	NA	NA
302	AMB_184	Amboseli	TRUE	TRUE	M	historical	NA	0.325	0.792	99.1		this_study		SRR1688489	NA	NA
303	AMB_127	Amboseli	TRUE	TRUE	M	historical	NA	0.324	0.798	98.59		this_study		NA	NA	SRR14608241
304	AMB_418	Amboseli	TRUE	TRUE	M	recent	NA	0.323	1.027	98.67		this_study		NA	NA	NA
305	AMB_050	Amboseli	TRUE	TRUE	F	historical	NA	0.323	0.925	99.27		this_study		NA	NA	SRR14608273
306	AMB_155	Amboseli	TRUE	TRUE	F	historical	NA	0.323	0.968	94.25		this_study		NA	NA	NA
307	AMB_398	Amboseli	TRUE	TRUE	M	historical	NA	0.323	0.994	99.13		this_study		NA	NA	NA
308	AMB_198	Amboseli	TRUE	TRUE	F	historical	NA	0.323	1.225	99.19		this_study		NA	NA	NA
309	AMB_175	Amboseli	TRUE	TRUE	M	recent	NA	0.322	0.908	99.24		this_study		NA	SRR7510400	SRR14608232
310	AMB_173	Amboseli	TRUE	TRUE	M	historical	NA	0.321	0.91	99.17		this_study		NA	NA	NA
311	AMB_269	Amboseli	TRUE	TRUE	F	recent	NA	0.321	0.908	99.04		this_study		NA	NA	NA
312	AMB_165	Amboseli	TRUE	TRUE	F	historical	NA	0.32	1.282	99.27		this_study		NA	NA	SRR14608236
313	AMB_105	Amboseli	TRUE	TRUE	F	historical	NA	0.32	1.217	99.29		this_study		NA	NA	NA
314	AMB_160	Amboseli	TRUE	TRUE	F	historical	NA	0.32	1.17	99.04		this_study		NA	NA	NA
315	AMB_409	Amboseli	TRUE	TRUE	M	historical	NA	0.32	1.01	99.18		this_study		NA	NA	NA
316	AMB_370	Amboseli	TRUE	TRUE	F	historical	NA	0.319	0.568	99.23		this_study		NA	NA	NA
317	AMB_143	Amboseli	TRUE	TRUE	F	historical	NA	0.319	0.987	99.27		this_study		SRR1688498	NA	NA
318	AMB_270	Amboseli	TRUE	TRUE	M	recent	NA	0.319	1.16	99.25		this_study		NA	SRR7510431	NA
319	AMB_442	Amboseli	TRUE	TRUE	M	historical	NA	0.318	0.957	99.16		this_study		NA	NA	NA
320	AMB_437	Amboseli	TRUE	TRUE	F	historical	NA	0.318	0.899	99.1		this_study		NA	NA	NA
321	AMB_264	Amboseli	TRUE	TRUE	F	historical	NA	0.317	1.354	99.31		this_study		NA	NA	NA
322	AMB_110	Amboseli	TRUE	TRUE	M	historical	NA	0.317	1.356	98.96		this_study		NA	NA	NA
323	AMB_197	Amboseli	TRUE	TRUE	F	historical	NA	0.317	1.041	99.24		this_study		NA	NA	NA
324	AMB_244	Amboseli	TRUE	TRUE	F	historical	NA	0.317	1.32	98.51		this_study		NA	NA	NA
325	AMB_433	Amboseli	TRUE	TRUE	M	historical	NA	0.317	0.835	99.04		this_study		NA	NA	NA
326	AMB_002	Amboseli	TRUE	TRUE	F	historical	NA	0.317	1.091	99.3		this_study		NA	SRR7510408	NA
327	AMB_395	Amboseli	TRUE	TRUE	M	historical	NA	0.317	0.769	98.91		this_study		NA	NA	NA
328	AMB_351	Amboseli	TRUE	TRUE	M	historical	NA	0.317	1.333	99.17		this_study		NA	NA	NA
329	AMB_408	Amboseli	TRUE	TRUE	F	historical	NA	0.316	1.068	99.05		this_study		NA	NA	SRR14608238
330	AMB_090	Amboseli	TRUE	TRUE	M	historical	NA	0.314	1.049	99.28		this_study		SRR1688496	NA	NA
331	AMB_256	Amboseli	TRUE	TRUE	F	historical	NA	0.313	1.241	99.27		this_study		NA	NA	NA
332	AMB_272	Amboseli	TRUE	TRUE	M	historical	NA	0.313	1.498	99.27		this_study		SRR1688532	SRR7510421	NA
333	AMB_170	Amboseli	TRUE	TRUE	F	historical	NA	0.313	0.944	99.19		this_study		NA	NA	NA
334	AMB_292	Amboseli	TRUE	TRUE	M	historical	NA	0.312	3.268	99.15	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151897	NA	NA	NA
335	AMB_425	Amboseli	TRUE	TRUE	M	historical	NA	0.312	0.843	98.38		this_study		NA	NA	NA
336	AMB_267	Amboseli	TRUE	TRUE	M	historical	NA	0.311	0.915	99.31		this_study		NA	NA	NA
337	AMB_100	Amboseli	TRUE	TRUE	F	historical	NA	0.31	0.832	99.06		this_study		NA	NA	NA
338	AMB_368	Amboseli	TRUE	TRUE	F	historical	NA	0.31	1.067	99.25		this_study		NA	NA	NA
339	AMB_423	Amboseli	TRUE	TRUE	M	historical	NA	0.31	0.814	99.06		this_study		NA	NA	NA
340	AMB_069	Amboseli	TRUE	TRUE	F	historical	NA	0.31	1.141	99.14		this_study		NA	NA	NA
341	AMB_093	Amboseli	TRUE	TRUE	F	historical	NA	0.309	1.13	98.7		this_study		NA	NA	NA
342	AMB_232	Amboseli	TRUE	TRUE	M	historical	NA	0.308	0.966	99.21		this_study		SRR1688505	NA	NA
343	AMB_102	Amboseli	TRUE	TRUE	F	historical	NA	0.308	1.071	99.26		this_study		NA	NA	NA
345	AMB_057	Amboseli	TRUE	TRUE	F	recent	NA	0.308	0.686	98.98		this_study		SRR1688497	NA	NA
346	AMB_183	Amboseli	TRUE	TRUE	F	recent	NA	0.307	0.738	99.29		this_study		NA	NA	NA
347	AMB_438	Amboseli	TRUE	TRUE	M	historical	NA	0.307	1.154	98.86		this_study		NA	NA	NA
348	AMB_101	Amboseli	TRUE	TRUE	M	historical	NA	0.307	1.115	99.23		this_study		SRR1688480	SRR7510499	NA
349	AMB_385	Amboseli	TRUE	TRUE	F	historical	NA	0.307	1.08	99.01		this_study		NA	NA	NA
350	AMB_209	Amboseli	TRUE	TRUE	F	historical	NA	0.306	1.24	99.19		this_study		NA	NA	NA
351	AMB_083	Amboseli	TRUE	TRUE	M	historical	NA	0.306	1.073	99.27		this_study		NA	NA	NA
352	AMB_441	Amboseli	TRUE	TRUE	M	historical	NA	0.306	1.222	99.12		this_study		NA	NA	NA
353	AMB_177	Amboseli	TRUE	TRUE	F	recent	NA	0.306	1.023	99.18		this_study		NA	NA	NA
354	AMB_439	Amboseli	TRUE	TRUE	M	historical	NA	0.306	1.043	95.88		this_study		NA	NA	NA
355	AMB_434	Amboseli	TRUE	TRUE	F	historical	NA	0.306	0.893	99.23		this_study		NA	NA	NA
356	AMB_334	Amboseli	TRUE	TRUE	M	historical	NA	0.306	0.91	99.22		this_study		NA	NA	NA
357	AMB_181	Amboseli	TRUE	TRUE	F	recent	NA	0.305	0.959	99.28		this_study		NA	NA	NA
358	AMB_285	Amboseli	TRUE	TRUE	M	historical	NA	0.305	1.047	98.65		this_study		NA	NA	NA
359	AMB_106	Amboseli	TRUE	TRUE	M	historical	NA	0.305	0.866	99.26		this_study		NA	NA	NA
360	AMB_431	Amboseli	TRUE	TRUE	F	historical	NA	0.305	0.743	99.25		this_study		NA	NA	NA
361	AMB_361	Amboseli	TRUE	TRUE	M	historical	NA	0.304	0.851	99.19		this_study		NA	NA	NA
362	AMB_086	Amboseli	TRUE	TRUE	F	historical	NA	0.304	0.958	99.31		this_study		NA	NA	NA
363	AMB_335	Amboseli	TRUE	TRUE	M	historical	NA	0.304	0.899	99.31		this_study		NA	NA	NA
364	AMB_112	Amboseli	TRUE	TRUE	F	historical	NA	0.304	1.213	99.31		this_study		NA	NA	NA
365	AMB_208	Amboseli	TRUE	TRUE	M	historical	NA	0.304	0.946	99.32		this_study		NA	NA	NA
366	AMB_158	Amboseli	TRUE	TRUE	F	historical	NA	0.304	1.338	98.29		this_study		NA	NA	NA
367	AMB_216	Amboseli	TRUE	TRUE	M	historical	NA	0.304	0.73	99.25		this_study		NA	NA	NA
368	AMB_347	Amboseli	TRUE	TRUE	F	historical	NA	0.303	0.887	99.06		this_study		NA	NA	NA
369	AMB_103	Amboseli	TRUE	TRUE	M	historical	NA	0.303	1.193	98.4		this_study		SRR1688481	NA	NA
370	AMB_021	Amboseli	TRUE	TRUE	M	historical	NA	0.303	1.039	99.24		this_study		SRR1688512	NA	NA
371	AMB_037	Amboseli	TRUE	TRUE	F	historical	NA	0.303	1.018	99.25		this_study		NA	NA	NA
372	AMB_345	Amboseli	TRUE	TRUE	F	historical	NA	0.303	0.638	99.19		this_study		NA	NA	NA
373	AMB_085	Amboseli	TRUE	TRUE	F	historical	NA	0.303	1.101	99.31		this_study		NA	NA	NA
374	AMB_161	Amboseli	TRUE	TRUE	M	historical	NA	0.303	0.9	99.17		this_study		SRR1688500	NA	NA
375	AMB_367	Amboseli	TRUE	FALSE	NA	NA	NA	0.302	1.325	99.21		this_study		NA	NA	NA
376	AMB_070	Amboseli	TRUE	TRUE	F	historical	NA	0.302	1.08	99.26		this_study		NA	NA	NA
377	AMB_159	Amboseli	TRUE	TRUE	M	historical	NA	0.302	1.142	99.31		this_study		SRR1688530	NA	NA
378	AMB_355	Amboseli	TRUE	TRUE	M	historical	NA	0.302	1.081	99.26		this_study		NA	NA	NA
379	AMB_031	Amboseli	TRUE	TRUE	M	historical	NA	0.302	1.402	99.26		this_study		NA	NA	NA
380	AMB_399	Amboseli	TRUE	FALSE	NA	NA	NA	0.302	1.022	98.55		this_study		NA	NA	NA
381	AMB_406	Amboseli	TRUE	TRUE	F	historical	NA	0.302	0.845	99.01		this_study		NA	NA	NA
382	AMB_354	Amboseli	TRUE	FALSE	NA	NA	NA	0.302	1.188	99.03		this_study		NA	NA	NA
383	AMB_072	Amboseli	TRUE	TRUE	M	historical	NA	0.302	1.301	99.14		this_study		NA	NA	NA
384	AMB_268	Amboseli	TRUE	TRUE	M	historical	NA	0.301	1.152	99.29		this_study		SRR1688506	NA	NA
385	AMB_429	Amboseli	TRUE	TRUE	F	historical	NA	0.301	1.085	99.25		this_study		NA	NA	NA
386	AMB_332	Amboseli	TRUE	TRUE	M	historical	NA	0.301	0.641	98.26		this_study		NA	NA	NA
387	AMB_028	Amboseli	TRUE	TRUE	M	historical	NA	0.301	1.213	99.24		this_study		NA	NA	NA
388	AMB_383	Amboseli	TRUE	TRUE	M	historical	NA	0.301	0.986	99.26		this_study		NA	NA	NA
389	AMB_078	Amboseli	TRUE	TRUE	F	historical	NA	0.301	0.758	99.31		this_study		NA	NA	NA
390	AMB_440	Amboseli	TRUE	TRUE	F	historical	NA	0.3	1.094	98.72		this_study		NA	NA	NA
391	AMB_098	Amboseli	TRUE	TRUE	F	historical	NA	0.3	1.035	99.26		this_study		NA	NA	NA
392	AMB_140	Amboseli	TRUE	TRUE	M	historical	NA	0.3	0.769	91.82		this_study		NA	NA	NA
393	AMB_174	Amboseli	TRUE	TRUE	F	recent	NA	0.3	0.799	99.15		this_study		NA	NA	NA
394	AMB_196	Amboseli	TRUE	TRUE	M	historical	NA	0.3	0.809	99.3		this_study		NA	NA	NA
395	AMB_034	Amboseli	TRUE	TRUE	M	historical	NA	0.299	1.362	99.16		this_study		NA	NA	NA
396	AMB_073	Amboseli	TRUE	TRUE	F	historical	NA	0.299	0.815	98.91		this_study		NA	NA	NA
397	AMB_026	Amboseli	TRUE	TRUE	M	historical	NA	0.299	0.86	99.31		this_study		NA	NA	NA
398	AMB_042	Amboseli	TRUE	TRUE	F	historical	NA	0.299	1.199	99.25		this_study		NA	NA	NA
399	AMB_116	Amboseli	TRUE	TRUE	F	historical	NA	0.299	1.48	99.3		this_study		NA	NA	NA
400	AMB_359	Amboseli	TRUE	TRUE	F	historical	NA	0.299	0.896	99.2		this_study		NA	NA	NA
401	AMB_118	Amboseli	TRUE	TRUE	M	recent	NA	0.299	0.751	99.11		this_study		SRR1688491	NA	NA
402	AMB_416	Amboseli	TRUE	TRUE	F	historical	NA	0.298	1.032	99.23		this_study		NA	NA	NA
403	AMB_166	Amboseli	TRUE	TRUE	M	historical	NA	0.298	1.137	99.11		this_study		NA	NA	NA
404	AMB_371	Amboseli	TRUE	TRUE	F	historical	NA	0.298	0.877	99.18		this_study		NA	NA	NA
405	AMB_430	Amboseli	TRUE	TRUE	M	historical	NA	0.298	0.91	99.19		this_study		NA	NA	NA
406	AMB_134	Amboseli	TRUE	TRUE	F	historical	NA	0.298	1.024	99.28		this_study		SRR1688513	NA	NA
407	AMB_211	Amboseli	TRUE	TRUE	F	historical	NA	0.298	0.688	99.23		this_study		NA	NA	NA
408	AMB_386	Amboseli	TRUE	TRUE	M	historical	NA	0.298	0.732	99.2		this_study		NA	NA	NA
409	AMB_393	Amboseli	TRUE	FALSE	NA	NA	NA	0.297	1.254	99.13		this_study		NA	NA	NA
410	AMB_381	Amboseli	TRUE	TRUE	F	historical	NA	0.297	1.064	99.23		this_study		NA	NA	NA
411	AMB_377	Amboseli	TRUE	TRUE	M	historical	NA	0.297	1.001	99.15		this_study		NA	NA	NA
412	AMB_400	Amboseli	TRUE	TRUE	F	historical	NA	0.297	0.933	99.1		this_study		NA	NA	NA
413	AMB_404	Amboseli	TRUE	TRUE	M	historical	NA	0.297	1.099	99.12		this_study		NA	NA	NA
414	AMB_251	Amboseli	TRUE	TRUE	F	historical	NA	0.297	1.302	99.3		this_study		NA	NA	NA
415	AMB_056	Amboseli	TRUE	TRUE	M	recent	NA	0.297	1.067	99.32		this_study		NA	NA	NA
416	AMB_213	Amboseli	TRUE	TRUE	F	historical	NA	0.297	0.79	99.32		this_study		SRR1688488	NA	NA
417	AMB_312	Amboseli	TRUE	TRUE	F	historical	NA	0.296	36.688	98.76		this_study		NA	NA	NA
418	AMB_349	Amboseli	TRUE	TRUE	F	historical	NA	0.296	1.268	99.07		this_study		NA	NA	NA
419	AMB_365	Amboseli	TRUE	TRUE	F	historical	NA	0.296	1.112	99.08		this_study		NA	NA	NA
420	AMB_337	Amboseli	TRUE	TRUE	F	historical	NA	0.296	0.749	93.22		this_study		NA	NA	NA
421	AMB_067	Amboseli	TRUE	TRUE	F	historical	NA	0.296	0.898	99.3		this_study		NA	NA	NA
422	AMB_417	Amboseli	TRUE	FALSE	NA	NA	NA	0.296	1.234	99.05		this_study		NA	NA	NA
423	AMB_141	Amboseli	TRUE	TRUE	F	historical	NA	0.296	0.926	99.21		this_study		NA	NA	NA
424	AMB_148	Amboseli	TRUE	TRUE	F	historical	NA	0.296	0.893	99.29		this_study		NA	NA	NA
425	AMB_189	Amboseli	TRUE	TRUE	M	historical	NA	0.296	1.09	99.27		this_study		NA	NA	NA
426	AMB_380	Amboseli	TRUE	TRUE	M	historical	NA	0.295	0.983	99.21		this_study		NA	NA	NA
427	AMB_288	Amboseli	TRUE	FALSE	NA	NA	NA	0.295	1.141	99.12		this_study		NA	NA	NA
428	AMB_171	Amboseli	TRUE	TRUE	F	historical	NA	0.295	1.09	99.2		this_study		NA	NA	NA
429	AMB_007	Amboseli	TRUE	TRUE	M	historical	NA	0.295	1.28	99.27		this_study		NA	NA	NA
430	AMB_108	Amboseli	TRUE	TRUE	F	historical	NA	0.295	0.99	99.27		this_study		NA	NA	NA
431	AMB_263	Amboseli	TRUE	TRUE	F	historical	NA	0.295	0.983	99.3		this_study		NA	NA	NA
432	AMB_379	Amboseli	TRUE	TRUE	M	historical	NA	0.294	0.982	99.25		this_study		NA	NA	NA
433	AMB_096	Amboseli	TRUE	TRUE	F	historical	NA	0.294	1.083	99.28		this_study		NA	NA	NA
434	AMB_179	Amboseli	TRUE	TRUE	F	recent	NA	0.294	0.976	99.31		this_study		NA	NA	NA
435	AMB_324	Amboseli	TRUE	FALSE	NA	NA	NA	0.294	0.803	99.24		this_study		NA	NA	NA
436	AMB_234	Amboseli	TRUE	TRUE	F	historical	NA	0.293	1.04	99.31		this_study		NA	SRR7510426	NA
437	AMB_284	Amboseli	TRUE	FALSE	NA	NA	NA	0.293	1.142	99.18		this_study		NA	NA	SRR14608217
438	AMB_392	Amboseli	TRUE	TRUE	M	historical	NA	0.293	0.94	99.19		this_study		NA	NA	NA
439	AMB_340	Amboseli	TRUE	TRUE	M	recent	NA	0.292	0.956	99.16		this_study		NA	NA	NA
440	AMB_200	Amboseli	TRUE	TRUE	M	historical	NA	0.292	1.078	99.18		this_study		NA	NA	NA
441	AMB_038	Amboseli	TRUE	TRUE	F	historical	NA	0.292	1.105	99.3		this_study		NA	NA	NA
442	AMB_407	Amboseli	TRUE	TRUE	F	historical	NA	0.292	1.024	99.06		this_study		NA	NA	NA
443	AMB_018	Amboseli	TRUE	TRUE	F	historical	NA	0.291	1.28	99.35		this_study		NA	NA	NA
444	AMB_113	Amboseli	TRUE	TRUE	F	historical	NA	0.291	1.239	99.25		this_study		NA	NA	NA
445	AMB_396	Amboseli	TRUE	TRUE	F	historical	NA	0.291	0.956	99.1		this_study		NA	NA	NA
446	AMB_226	Amboseli	TRUE	TRUE	M	historical	NA	0.291	1.145	99.29		this_study		NA	NA	NA
447	AMB_394	Amboseli	TRUE	TRUE	F	historical	NA	0.291	1.104	99.19		this_study		NA	NA	NA
448	AMB_146	Amboseli	TRUE	TRUE	M	historical	NA	0.291	0.83	99.24		this_study		NA	NA	NA
449	AMB_421	Amboseli	TRUE	TRUE	M	historical	NA	0.291	0.981	99.08		this_study		NA	NA	NA
450	AMB_204	Amboseli	TRUE	TRUE	F	historical	NA	0.29	1.041	99.3		this_study		NA	NA	SRR14608225
451	AMB_363	Amboseli	TRUE	TRUE	F	historical	NA	0.29	0.772	99.28		this_study		NA	NA	NA
452	AMB_424	Amboseli	TRUE	TRUE	F	historical	NA	0.29	1.25	99.24		this_study		NA	NA	NA
453	AMB_435	Amboseli	TRUE	TRUE	F	historical	NA	0.29	1.131	99.04		this_study		NA	NA	NA
454	AMB_156	Amboseli	TRUE	TRUE	F	historical	NA	0.289	1.109	99.27		this_study		NA	NA	NA
455	AMB_047	Amboseli	TRUE	TRUE	M	historical	NA	0.289	1.051	99.27		this_study		NA	NA	NA
456	AMB_168	Amboseli	TRUE	TRUE	M	historical	NA	0.289	0.85	99.21		this_study		NA	NA	NA
457	AMB_061	Amboseli	TRUE	TRUE	F	recent	NA	0.289	1.197	99.32		this_study		NA	NA	NA
458	AMB_020	Amboseli	TRUE	TRUE	M	historical	NA	0.288	0.918	99.22		this_study		NA	NA	NA
459	AMB_032	Amboseli	TRUE	TRUE	F	historical	NA	0.288	0.996	99.12		this_study		SRR1688484	NA	NA
460	AMB_378	Amboseli	TRUE	TRUE	M	historical	NA	0.288	1.338	99.2		this_study		NA	NA	NA
461	AMB_366	Amboseli	TRUE	TRUE	M	historical	NA	0.287	1.422	99.07		this_study		SRR1688528	NA	NA
462	AMB_343	Amboseli	TRUE	TRUE	F	historical	NA	0.287	0.849	99.1		this_study		NA	NA	NA
463	AMB_142	Amboseli	TRUE	TRUE	M	historical	NA	0.287	1.058	99.25		this_study		NA	NA	NA
464	AMB_151	Amboseli	TRUE	TRUE	M	historical	NA	0.287	1.248	99.27		this_study		NA	NA	NA
465	AMB_245	Amboseli	TRUE	TRUE	F	historical	NA	0.287	1.245	99.31		this_study		NA	NA	NA
466	AMB_192	Amboseli	TRUE	TRUE	M	historical	NA	0.286	1.461	98.21		this_study		NA	NA	NA
467	AMB_099	Amboseli	TRUE	TRUE	F	historical	NA	0.286	1.108	99.29		this_study		SRR1688477	NA	NA
468	AMB_178	Amboseli	TRUE	TRUE	M	recent	NA	0.286	1.245	99.32		this_study		SRR1688487	NA	NA
469	AMB_004	Amboseli	TRUE	TRUE	M	historical	NA	0.286	0.907	98.71		this_study		NA	NA	NA
470	AMB_341	Amboseli	TRUE	TRUE	F	historical	NA	0.285	0.878	99.15		this_study		NA	NA	NA
471	AMB_236	Amboseli	TRUE	TRUE	M	historical	NA	0.285	1.353	99.28		this_study		NA	NA	NA
472	AMB_097	Amboseli	TRUE	TRUE	F	historical	NA	0.285	0.898	99.32		this_study		NA	NA	NA
473	AMB_202	Amboseli	TRUE	TRUE	F	historical	NA	0.285	1.369	99.29		this_study		NA	SRR7510398	NA
474	AMB_362	Amboseli	TRUE	TRUE	F	historical	NA	0.285	1.096	99.25		this_study		NA	NA	NA
475	AMB_339	Amboseli	TRUE	TRUE	F	historical	NA	0.284	0.834	99.08		this_study		NA	NA	NA
476	AMB_195	Amboseli	TRUE	TRUE	M	historical	NA	0.284	1.225	99.31		this_study		NA	NA	NA
477	AMB_240	Amboseli	TRUE	TRUE	F	historical	NA	0.284	1.246	99.28		this_study		NA	NA	NA
478	AMB_154	Amboseli	TRUE	TRUE	M	historical	NA	0.283	1.335	99.31		this_study		NA	NA	NA
479	AMB_120	Amboseli	TRUE	TRUE	F	historical	NA	0.283	1.319	95.74		this_study		NA	NA	NA
480	AMB_053	Amboseli	TRUE	TRUE	F	recent	NA	0.283	1.222	99.28		this_study		NA	NA	NA
481	AMB_322	Amboseli	TRUE	TRUE	M	historical	NA	0.283	1.066	93.48		this_study		NA	NA	NA
482	AMB_360	Amboseli	TRUE	TRUE	M	historical	NA	0.282	1.215	99		this_study		NA	NA	NA
483	AMB_274	Amboseli	TRUE	TRUE	F	historical	NA	0.281	1.222	99.3		this_study		NA	NA	NA
484	AMB_137	Amboseli	TRUE	TRUE	F	historical	NA	0.281	1.147	99.31		this_study		SRR1688494	NA	NA
485	AMB_331	Amboseli	TRUE	TRUE	F	historical	NA	0.28	0.514	57.26		this_study		NA	NA	NA
486	AMB_126	Amboseli	TRUE	TRUE	F	historical	NA	0.28	0.997	99.26		this_study		NA	NA	NA
487	AMB_081	Amboseli	TRUE	TRUE	M	historical	NA	0.28	1.08	99.24		this_study		NA	NA	NA
488	AMB_382	Amboseli	TRUE	TRUE	F	historical	NA	0.28	1.044	99.17		this_study		NA	NA	NA
489	AMB_214	Amboseli	TRUE	TRUE	F	historical	NA	0.279	1.157	99.27		this_study		NA	NA	NA
490	AMB_237	Amboseli	TRUE	TRUE	F	historical	NA	0.279	1.243	99.26		this_study		NA	SRR7510445	NA
491	AMB_328	Amboseli	TRUE	FALSE	NA	NA	NA	0.279	1.002	99.21		this_study		NA	NA	NA
492	AMB_022	Amboseli	TRUE	TRUE	F	historical	NA	0.278	1.06	99.28		this_study		NA	NA	NA
493	AMB_082	Amboseli	TRUE	TRUE	M	historical	NA	0.277	1.104	99.31		this_study		NA	NA	NA
494	AMB_325	Amboseli	TRUE	TRUE	F	historical	NA	0.277	1.015	99.33		this_study		NA	NA	NA
495	AMB_227	Amboseli	TRUE	TRUE	M	historical	NA	0.276	0.831	98.03		this_study		NA	NA	NA
496	AMB_055	Amboseli	TRUE	TRUE	M	historical	NA	0.276	0.913	99.29		this_study		NA	NA	NA
497	AMB_012	Amboseli	TRUE	TRUE	M	historical	NA	0.276	0.954	99.28		this_study		NA	NA	NA
498	AMB_346	Amboseli	TRUE	TRUE	F	historical	NA	0.276	0.915	99.2		this_study		NA	NA	NA
499	AMB_123	Amboseli	TRUE	TRUE	M	historical	NA	0.275	1.218	99.12		this_study		NA	NA	NA
500	AMB_074	Amboseli	TRUE	TRUE	M	historical	NA	0.275	0.939	99.24		this_study		NA	NA	NA
501	AMB_230	Amboseli	TRUE	FALSE	NA	NA	NA	0.275	1.28	98.84		this_study		NA	NA	NA
502	AMB_239	Amboseli	TRUE	TRUE	M	historical	NA	0.275	1.347	96.67		this_study		NA	NA	NA
503	AMB_006	Amboseli	TRUE	TRUE	M	historical	NA	0.274	0.987	99.3		this_study		NA	SRR7510412	NA
504	AMB_088	Amboseli	TRUE	TRUE	M	historical	NA	0.273	1.021	99.26		this_study		NA	NA	NA
505	AMB_124	Amboseli	TRUE	TRUE	M	historical	NA	0.272	1.023	88.75		this_study		NA	NA	NA
506	AMB_248	Amboseli	TRUE	TRUE	M	historical	NA	0.272	1.603	99.04		this_study		NA	NA	NA
507	AMB_387	Amboseli	TRUE	TRUE	M	historical	NA	0.268	1.13	99.14		this_study		NA	NA	NA
508	AMB_247	Amboseli	TRUE	TRUE	M	historical	NA	0.267	1.361	99.29		this_study		NA	NA	NA
509	AMB_249	Amboseli	TRUE	TRUE	F	historical	NA	0.267	1.197	99.29		this_study		NA	NA	NA
510	AMB_162	Amboseli	TRUE	TRUE	M	historical	NA	0.262	0.916	99.29		this_study		NA	NA	NA
511	AMB_212	Amboseli	TRUE	TRUE	M	historical	NA	0.261	1.144	99.28		this_study		NA	SRR7510444	NA
512	AMB_314	Amboseli	TRUE	TRUE	F	historical	NA	0.25	39.004	98.82		this_study		NA	NA	NA
513	AMB_318	Amboseli	TRUE	TRUE	F	historical	NA	0.245	32.508	98.74		this_study		SRR1688516	NA	NA
514	AMB_316	Amboseli	TRUE	TRUE	M	historical	NA	0.24	28.813	99		this_study		NA	NA	NA
515	AMB_311	Amboseli	TRUE	TRUE	M	historical	NA	0.239	24.829	98.36	PRJNA295782	Snyder_Mackler_et_al_2016_Genetics	SRR2565914	NA	NA	NA
516	AMB_313	Amboseli	TRUE	TRUE	F	historical	NA	0.236	37.895	99.22		this_study		NA	NA	NA
517	AMB_310	Amboseli	TRUE	TRUE	F	historical	NA	0.234	22.735	98.39	PRJNA295782	Snyder_Mackler_et_al_2016_Genetics	SRR2565912; SRR2650000; SRR2650075	NA	NA	NA
518	AMB_109	Amboseli	TRUE	TRUE	M	historical	NA	0.212	0.963	99.09		this_study		NA	NA	NA
